S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
5080,21/06/2020,Madhya Pradesh,11724,2343,8880,501
5081,22/06/2020,Madhya Pradesh,11903,2373,9015,515
5082,23/06/2020,Madhya Pradesh,12078,2342,9215,521
5083,24/06/2020,Madhya Pradesh,12261,2401,9335,525
5084,25/06/2020,Madhya Pradesh,12448,2441,9473,534
5085,26/06/2020,Madhya Pradesh,12596,2435,9619,542
5086,27/06/2020,Madhya Pradesh,12798,2448,9804,546
5087,28/06/2020,Madhya Pradesh,12965,2444,9971,550
5088,29/06/2020,Madhya Pradesh,13186,2545,10084,557
5089,30/06/2020,Madhya Pradesh,13370,2607,10199,564
5090,01/07/2020,Madhya Pradesh,13593,2626,10395,572
5091,02/07/2020,Madhya Pradesh,13861,2625,10655,581
5092,03/07/2020,Madhya Pradesh,14106,2702,10815,589
5093,04/07/2020,Madhya Pradesh,14297,2655,11049,593
5094,05/07/2020,Madhya Pradesh,14604,2772,11234,598
5095,06/07/2020,Madhya Pradesh,14930,2911,11411,608
5096,07/07/2020,Madhya Pradesh,15284,3088,11579,617
5097,08/07/2020,Madhya Pradesh,15627,3237,11768,622
5098,09/07/2020,Madhya Pradesh,16036,3420,11987,629
5099,10/07/2020,Madhya Pradesh,16341,3475,12232,634
5100,11/07/2020,Madhya Pradesh,16657,3538,12481,638
5101,12/07/2020,Madhya Pradesh,17201,3878,12679,644
5102,13/07/2020,Madhya Pradesh,17632,4103,12876,653
5103,14/07/2020,Madhya Pradesh,18207,4336,13208,663
5104,15/07/2020,Madhya Pradesh,19005,4757,13575,673
5105,16/07/2020,Madhya Pradesh,19643,5053,13908,682
5106,17/07/2020,Madhya Pradesh,20378,5562,14127,689
5107,18/07/2020,Madhya Pradesh,21081,5870,14514,697
5108,19/07/2020,Madhya Pradesh,21763,6193,14864,706
5109,20/07/2020,Madhya Pradesh,22600,6568,15311,721
5110,21/07/2020,Madhya Pradesh,23310,6888,15684,738
5111,22/07/2020,Madhya Pradesh,24095,7082,16257,756
5112,23/07/2020,Madhya Pradesh,24842,7236,16836,770
5113,24/07/2020,Madhya Pradesh,25474,7335,17359,780
5114,25/07/2020,Madhya Pradesh,26210,7553,17866,791
5115,26/07/2020,Madhya Pradesh,26926,7639,18488,799
5116,27/07/2020,Madhya Pradesh,27800,7857,19132,811
5117,28/07/2020,Madhya Pradesh,28589,7978,19791,820
5118,29/07/2020,Madhya Pradesh,29217,8044,20343,830
5119,30/07/2020,Madhya Pradesh,30134,8357,20934,843
5120,31/07/2020,Madhya Pradesh,30968,8454,21657,857
5121,01/08/2020,Madhya Pradesh,31806,8668,22271,867
5122,02/08/2020,Madhya Pradesh,32614,8769,22969,876
5123,03/08/2020,Madhya Pradesh,33535,9099,23550,886
5124,04/08/2020,Madhya Pradesh,34285,9286,24099,900
5125,05/08/2020,Madhya Pradesh,35082,8756,25414,912
5126,06/08/2020,Madhya Pradesh,35734,8741,26064,929
5127,07/08/2020,Madhya Pradesh,36564,8716,26902,946
5128,08/08/2020,Madhya Pradesh,37298,8715,27621,962
5129,09/08/2020,Madhya Pradesh,38157,8827,28353,977
5130,10/08/2020,Madhya Pradesh,39025,9009,29020,996
5131,11/08/2020,Madhya Pradesh,39891,9202,29674,1015
5132,12/08/2020,Madhya Pradesh,40734,9105,30596,1033
5133,13/08/2020,Madhya Pradesh,41604,9317,31239,1048
5134,14/08/2020,Madhya Pradesh,42618,9718,31835,1065
5135,15/08/2020,Madhya Pradesh,43414,9928,32405,1081
5136,16/08/2020,Madhya Pradesh,44433,9986,33353,1094
5137,17/08/2020,Madhya Pradesh,45455,10312,34038,1105
5138,18/08/2020,Madhya Pradesh,46385,10232,35025,1128
5139,19/08/2020,Madhya Pradesh,47375,10521,35713,1141
5140,20/08/2020,Madhya Pradesh,48351,10717,36475,1159
5141,21/08/2020,Madhya Pradesh,49493,10782,37540,1171
5142,22/08/2020,Madhya Pradesh,50640,10928,38527,1185
5143,23/08/2020,Madhya Pradesh,51866,11261,39399,1206
5144,24/08/2020,Madhya Pradesh,53129,11510,40390,1229
5145,25/08/2020,Madhya Pradesh,54421,11944,41231,1246
5146,26/08/2020,Madhya Pradesh,55800,12225,42310,1265
5147,27/08/2020,Madhya Pradesh,56864,12336,43246,1282
5148,28/08/2020,Madhya Pradesh,58181,12422,44453,1306
5149,29/08/2020,Madhya Pradesh,59433,12714,45396,1323
5150,30/08/2020,Madhya Pradesh,60875,13117,46413,1345
5151,31/08/2020,Madhya Pradesh,62433,13592,47467,1374
5152,01/09/2020,Madhya Pradesh,63965,13914,48657,1394
5153,02/09/2020,Madhya Pradesh,65490,14072,49992,1426
5154,03/09/2020,Madhya Pradesh,66914,14337,51124,1453
5155,04/09/2020,Madhya Pradesh,68586,14888,52215,1483
5156,05/09/2020,Madhya Pradesh,70244,15474,53257,1513
5157,06/09/2020,Madhya Pradesh,71880,15688,54649,1543
5158,07/09/2020,Madhya Pradesh,73574,16115,55887,1572
5159,08/09/2020,Madhya Pradesh,75459,16961,56909,1589
5160,09/09/2020,Madhya Pradesh,77323,17205,58509,1609
5161,10/09/2020,Madhya Pradesh,79192,17702,59850,1640
5162,11/09/2020,Madhya Pradesh,81379,18433,61285,1661
5163,12/09/2020,Madhya Pradesh,83619,18992,62936,1691
5164,13/09/2020,Madhya Pradesh,85966,19840,64398,1728
5165,14/09/2020,Madhya Pradesh,88247,20487,65998,1762
5166,15/09/2020,Madhya Pradesh,90730,21228,67711,1791
5167,16/09/2020,Madhya Pradesh,93053,21620,69613,1820
5168,17/09/2020,Madhya Pradesh,95515,22136,71535,1844
5169,18/09/2020,Madhya Pradesh,97906,21631,74398,1877
5170,19/09/2020,Madhya Pradesh,100458,21605,76952,1901
5171,20/09/2020,Madhya Pradesh,103065,21964,79158,1943
5172,21/09/2020,Madhya Pradesh,105644,22300,81374,1970
5173,22/09/2020,Madhya Pradesh,108167,22542,83618,2007
5174,23/09/2020,Madhya Pradesh,110711,22646,86030,2035
5175,24/09/2020,Madhya Pradesh,113057,22812,88168,2077
5176,25/09/2020,Madhya Pradesh,115361,22744,90495,2122
5177,26/09/2020,Madhya Pradesh,117588,22198,93238,2152
5178,27/09/2020,Madhya Pradesh,119899,22228,95490,2181
5179,28/09/2020,Madhya Pradesh,122209,22431,97571,2207
5180,29/09/2020,Madhya Pradesh,124166,21912,100012,2242
5181,30/09/2020,Madhya Pradesh,126043,21317,102445,2281
5182,01/10/2020,Madhya Pradesh,128047,20997,104734,2316
5183,02/10/2020,Madhya Pradesh,130088,20473,107279,2336
5184,03/10/2020,Madhya Pradesh,132107,20124,109611,2372
5185,04/10/2020,Madhya Pradesh,133918,19807,111712,2399
5186,05/10/2020,Madhya Pradesh,135638,19372,113832,2434
5187,06/10/2020,Madhya Pradesh,137098,18757,115878,2463
5188,07/10/2020,Madhya Pradesh,138668,18141,118039,2488
5189,08/10/2020,Madhya Pradesh,140307,17522,120267,2518
5190,09/10/2020,Madhya Pradesh,142022,16788,122687,2547
5191,10/10/2020,Madhya Pradesh,143629,16168,124887,2574
5192,11/10/2020,Madhya Pradesh,145245,15612,127034,2599
5193,12/10/2020,Madhya Pradesh,146820,15177,129019,2624
5194,13/10/2020,Madhya Pradesh,148298,14932,130721,2645
5195,14/10/2020,Madhya Pradesh,149761,14661,132429,2671
5196,15/10/2020,Madhya Pradesh,155276,14432,138158,2686
5197,16/10/2020,Madhya Pradesh,156584,14157,139717,2710
5198,17/10/2020,Madhya Pradesh,157936,13928,141273,2735
5199,18/10/2020,Madhya Pradesh,159158,13698,142707,2753
5200,19/10/2020,Madhya Pradesh,160188,13281,144134,2773
5201,20/10/2020,Madhya Pradesh,161203,12996,145421,2786
5202,21/10/2020,Madhya Pradesh,162178,12507,146860,2811
5203,22/10/2020,Madhya Pradesh,163296,12386,148082,2828
5204,23/10/2020,Madhya Pradesh,164341,12146,149353,2842
5205,24/10/2020,Madhya Pradesh,165294,11761,150678,2855
5206,25/10/2020,Madhya Pradesh,166298,11477,151946,2875
5207,26/10/2020,Madhya Pradesh,167249,11237,153127,2885
5208,27/10/2020,Madhya Pradesh,167969,10857,154222,2890
5209,28/10/2020,Madhya Pradesh,168483,10353,155232,2898
5210,29/10/2020,Madhya Pradesh,169271,10094,156264,2913
5211,30/10/2020,Madhya Pradesh,169999,9689,157381,2929
5212,31/10/2020,Madhya Pradesh,170690,9294,158455,2941
5213,01/11/2020,Madhya Pradesh,171359,8929,159479,2951
5214,02/11/2020,Madhya Pradesh,172082,8538,160586,2958
5215,03/11/2020,Madhya Pradesh,172717,8298,161454,2965
5216,04/11/2020,Madhya Pradesh,173384,8044,162366,2974
5217,05/11/2020,Madhya Pradesh,174091,7854,163250,2987
5218,06/11/2020,Madhya Pradesh,174825,7766,164067,2992
5219,07/11/2020,Madhya Pradesh,175603,7676,164923,3004
5220,08/11/2020,Madhya Pradesh,176468,7736,165715,3017
5221,09/11/2020,Madhya Pradesh,177359,7928,166403,3028
5222,10/11/2020,Madhya Pradesh,178168,8050,167084,3034
5223,11/11/2020,Madhya Pradesh,179068,8149,167877,3042
5224,12/11/2020,Madhya Pradesh,179951,8328,168568,3055
5225,13/11/2020,Madhya Pradesh,180997,8672,169260,3065
5226,14/11/2020,Madhya Pradesh,182045,8876,170093,3076
5227,15/11/2020,Madhya Pradesh,183057,9005,170969,3083
5228,16/11/2020,Madhya Pradesh,183927,9146,171691,3090
5229,17/11/2020,Madhya Pradesh,184524,8996,172436,3092
5230,18/11/2020,Madhya Pradesh,185446,9060,173284,3102
5231,19/11/2020,Madhya Pradesh,186655,9338,174202,3115
5232,20/11/2020,Madhya Pradesh,188018,9800,175089,3129
5233,21/11/2020,Madhya Pradesh,189546,10402,176006,3138
5234,22/11/2020,Madhya Pradesh,191246,11192,176905,3149
5235,23/11/2020,Madhya Pradesh,193044,11765,178117,3162
5236,24/11/2020,Madhya Pradesh,194745,12336,179237,3172
5237,25/11/2020,Madhya Pradesh,196511,12979,180349,3183
5238,26/11/2020,Madhya Pradesh,198284,13742,181345,3197
5239,27/11/2020,Madhya Pradesh,199952,14199,182544,3209
5240,28/11/2020,Madhya Pradesh,201597,14677,183696,3224
5241,29/11/2020,Madhya Pradesh,203231,14981,185013,3237
5242,30/11/2020,Madhya Pradesh,204745,14974,186521,3250
5243,01/12/2020,Madhya Pradesh,206128,14771,188097,3260
5244,02/12/2020,Madhya Pradesh,207485,14435,189780,3270
5245,12/03/2020,Maharashtra,11,11,0,0
5246,13/03/2020,Maharashtra,11,11,0,0
5247,14/03/2020,Maharashtra,14,14,0,0
5248,15/03/2020,Maharashtra,31,31,0,0
5249,16/03/2020,Maharashtra,32,32,0,0
5250,17/03/2020,Maharashtra,39,38,0,1
5251,18/03/2020,Maharashtra,41,40,0,1
5252,19/03/2020,Maharashtra,45,44,0,1
5253,20/03/2020,Maharashtra,47,46,0,1
5254,21/03/2020,Maharashtra,52,51,0,1
5255,22/03/2020,Maharashtra,67,65,0,2
5256,23/03/2020,Maharashtra,74,72,0,2
5257,24/03/2020,Maharashtra,87,85,0,2
5258,25/03/2020,Maharashtra,89,87,0,2
5259,26/03/2020,Maharashtra,124,120,1,3
5260,27/03/2020,Maharashtra,130,111,15,4
5261,28/03/2020,Maharashtra,180,150,25,5
5262,29/03/2020,Maharashtra,186,155,25,6
5263,30/03/2020,Maharashtra,193,160,25,8
5264,31/03/2020,Maharashtra,216,168,39,9
5265,01/04/2020,Maharashtra,302,254,39,9
5266,02/04/2020,Maharashtra,335,280,42,13
5267,03/04/2020,Maharashtra,335,277,42,16
5268,04/04/2020,Maharashtra,423,362,42,19
5269,05/04/2020,Maharashtra,490,424,42,24
5270,06/04/2020,Maharashtra,690,603,42,45
5271,07/04/2020,Maharashtra,748,647,56,45
5272,08/04/2020,Maharashtra,1018,875,79,64
5273,09/04/2020,Maharashtra,1135,946,117,72
5274,10/04/2020,Maharashtra,1364,1142,125,97
5275,11/04/2020,Maharashtra,1574,1276,188,110
5276,12/04/2020,Maharashtra,1761,1426,208,127
5277,13/04/2020,Maharashtra,1985,1619,217,149
5278,14/04/2020,Maharashtra,2334,1957,217,160
5279,15/04/2020,Maharashtra,2687,2250,259,178
5280,16/04/2020,Maharashtra,2916,2434,295,187
5281,17/04/2020,Maharashtra,3205,2711,300,194
5282,18/04/2020,Maharashtra,3323,2791,331,201
5283,19/04/2020,Maharashtra,3651,3075,365,211
5284,20/04/2020,Maharashtra,4203,3473,507,223
5285,21/04/2020,Maharashtra,4666,3862,572,232
5286,22/04/2020,Maharashtra,5218,4245,722,251
5287,23/04/2020,Maharashtra,5652,4594,789,269
5288,24/04/2020,Maharashtra,6430,5307,840,283
5289,25/04/2020,Maharashtra,6817,5676,840,301
5290,26/04/2020,Maharashtra,7628,6229,1076,323
5291,27/04/2020,Maharashtra,8068,6650,1076,342
5292,28/04/2020,Maharashtra,8590,6939,1282,369
5293,29/04/2020,Maharashtra,9318,7530,1388,400
5294,30/04/2020,Maharashtra,9915,7890,1593,432
5295,01/05/2020,Maharashtra,10498,8266,1773,459
5296,02/05/2020,Maharashtra,11506,9142,1879,485
5297,03/05/2020,Maharashtra,12296,9775,2000,521
5298,04/05/2020,Maharashtra,12974,10311,2115,548
5299,05/05/2020,Maharashtra,14541,11493,2465,583
5300,06/05/2020,Maharashtra,15525,12089,2819,617
5301,07/05/2020,Maharashtra,16758,13013,3094,651
5302,08/05/2020,Maharashtra,17974,13979,3301,694
5303,09/05/2020,Maharashtra,19063,14862,3470,731
5304,10/05/2020,Maharashtra,20228,15649,3800,779
5305,11/05/2020,Maharashtra,22171,17140,4199,832
5306,12/05/2020,Maharashtra,23401,17747,4786,868
5307,13/05/2020,Maharashtra,24427,18381,5125,921
5308,14/05/2020,Maharashtra,25922,19400,5547,975
5309,15/05/2020,Maharashtra,27524,20446,6059,1019
5310,16/05/2020,Maharashtra,29100,21468,6564,1068
5311,17/05/2020,Maharashtra,30706,22483,7088,1135
5312,18/05/2020,Maharashtra,33053,24167,7688,1198
5313,19/05/2020,Maharashtra,35058,25372,8437,1249
5314,20/05/2020,Maharashtra,37136,26172,9639,1325
5315,21/05/2020,Maharashtra,39297,27589,10318,1390
5316,22/05/2020,Maharashtra,41642,28462,11726,1454
5317,23/05/2020,Maharashtra,44582,30482,12583,1517
5318,24/05/2020,Maharashtra,47190,32209,13404,1577
5319,25/05/2020,Maharashtra,50231,33996,14600,1635
5320,26/05/2020,Maharashtra,52667,35186,15786,1695
5321,27/05/2020,Maharashtra,54758,36012,16954,1792
5322,28/05/2020,Maharashtra,56948,37133,17918,1897
5323,29/05/2020,Maharashtra,59546,38948,18616,1982
5324,30/05/2020,Maharashtra,62228,33133,26997,2098
5325,31/05/2020,Maharashtra,65168,34890,28081,2197
5326,01/06/2020,Maharashtra,67655,36040,29329,2286
5327,02/06/2020,Maharashtra,70013,37543,30108,2362
5328,03/06/2020,Maharashtra,72300,38502,31333,2465
5329,04/06/2020,Maharashtra,74860,39944,32329,2587
5330,05/06/2020,Maharashtra,77793,41402,33681,2710
5331,06/06/2020,Maharashtra,80229,42224,35156,2849
5332,07/06/2020,Maharashtra,82968,42609,37390,2969
5333,08/06/2020,Maharashtra,85975,43601,39314,3060
5334,09/06/2020,Maharashtra,88528,44384,40975,3169
5335,10/06/2020,Maharashtra,90787,44860,42638,3289
5336,11/06/2020,Maharashtra,94041,46086,44517,3438
5337,12/06/2020,Maharashtra,97648,47980,46078,3590
5338,13/06/2020,Maharashtra,101141,49628,47796,3717
5339,14/06/2020,Maharashtra,104568,51392,49346,3830
5340,15/06/2020,Maharashtra,107958,53030,50978,3950
5341,16/06/2020,Maharashtra,110744,50567,56049,4128
5342,17/06/2020,Maharashtra,113445,50057,57851,5537
5343,18/06/2020,Maharashtra,116752,51935,59166,5651
5344,19/06/2020,Maharashtra,120504,53915,60838,5751
5345,20/06/2020,Maharashtra,124331,55665,62773,5893
5346,21/06/2020,Maharashtra,128205,58068,64153,5984
5347,22/06/2020,Maharashtra,132075,60161,65744,6170
5348,23/06/2020,Maharashtra,135796,61807,67706,6283
5349,24/06/2020,Maharashtra,139010,62848,69631,6531
5350,25/06/2020,Maharashtra,142900,62369,73792,6739
5351,26/06/2020,Maharashtra,147741,63357,77453,6931
5352,27/06/2020,Maharashtra,152765,65844,79815,7106
5353,28/06/2020,Maharashtra,159133,67615,84245,7273
5354,29/06/2020,Maharashtra,164626,70622,86575,7429
5355,30/06/2020,Maharashtra,169883,73313,88960,7610
5356,01/07/2020,Maharashtra,174761,75995,90911,7855
5357,02/07/2020,Maharashtra,180298,79091,93154,8053
5358,03/07/2020,Maharashtra,186626,77276,101172,8178
5359,04/07/2020,Maharashtra,192990,79927,104687,8376
5360,05/07/2020,Maharashtra,200064,83311,108082,8671
5361,06/07/2020,Maharashtra,206619,86057,111740,8822
5362,07/07/2020,Maharashtra,211987,87699,115262,9026
5363,08/07/2020,Maharashtra,217121,89313,118558,9250
5364,09/07/2020,Maharashtra,223724,91084,123192,9448
5365,10/07/2020,Maharashtra,230599,93673,127259,9667
5366,11/07/2020,Maharashtra,238461,95943,132625,9893
5367,12/07/2020,Maharashtra,246600,99499,136985,10116
5368,13/07/2020,Maharashtra,254427,103813,140325,10289
5369,14/07/2020,Maharashtra,260924,105935,144507,10482
5370,15/07/2020,Maharashtra,267665,107963,149007,10695
5371,16/07/2020,Maharashtra,275640,112099,152613,10928
5372,17/07/2020,Maharashtra,284281,114947,158140,11194
5373,18/07/2020,Maharashtra,292589,120780,160357,11452
5374,19/07/2020,Maharashtra,300937,123678,165663,11596
5375,20/07/2020,Maharashtra,310455,129032,169569,11854
5376,21/07/2020,Maharashtra,318695,131636,175029,12030
5377,22/07/2020,Maharashtra,327031,132538,182217,12276
5378,23/07/2020,Maharashtra,337607,137282,187769,12556
5379,24/07/2020,Maharashtra,347502,140395,194253,12854
5380,25/07/2020,Maharashtra,357117,144018,199967,13132
5381,26/07/2020,Maharashtra,366368,145785,207194,13389
5382,27/07/2020,Maharashtra,375799,148905,213238,13656
5383,28/07/2020,Maharashtra,383723,147896,221944,13883
5384,29/07/2020,Maharashtra,391440,144998,232277,14165
5385,30/07/2020,Maharashtra,400651,146433,239755,14463
5386,31/07/2020,Maharashtra,411798,148454,248615,14729
5387,01/08/2020,Maharashtra,422118,150966,256158,14994
5388,02/08/2020,Maharashtra,431719,149520,266883,15316
5389,03/08/2020,Maharashtra,441228,148843,276809,15576
5390,04/08/2020,Maharashtra,450196,147324,287030,15842
5391,05/08/2020,Maharashtra,457956,142458,299356,16142
5392,06/08/2020,Maharashtra,468265,146268,305521,16476
5393,07/08/2020,Maharashtra,479779,146612,316375,16792
5394,08/08/2020,Maharashtra,490262,145889,327281,17092
5395,09/08/2020,Maharashtra,503084,147355,338362,17367
5396,10/08/2020,Maharashtra,515332,145865,351710,17757
5397,11/08/2020,Maharashtra,524513,148042,358421,18050
5398,12/08/2020,Maharashtra,535601,148860,368435,18306
5399,13/08/2020,Maharashtra,548313,147820,381843,18650
5400,14/08/2020,Maharashtra,560126,150105,390958,19063
5401,15/08/2020,Maharashtra,572734,151865,401442,19427
5402,16/08/2020,Maharashtra,584754,156719,408286,19749
5403,17/08/2020,Maharashtra,595865,158705,417123,20037
5404,18/08/2020,Maharashtra,604358,155579,428514,20265
5405,19/08/2020,Maharashtra,615477,156920,437870,20687
5406,20/08/2020,Maharashtra,628642,160728,446881,21033
5407,21/08/2020,Maharashtra,643289,162806,459124,21359
5408,22/08/2020,Maharashtra,657450,164879,470873,21698
5409,23/08/2020,Maharashtra,671942,169833,480114,21995
5410,24/08/2020,Maharashtra,682383,171859,488271,22253
5411,25/08/2020,Maharashtra,693398,168443,502490,22465
5412,26/08/2020,Maharashtra,703823,166239,514790,22794
5413,27/08/2020,Maharashtra,718711,173195,522427,23089
5414,28/08/2020,Maharashtra,733568,178561,531563,23444
5415,29/08/2020,Maharashtra,747995,181050,543170,23775
5416,30/08/2020,Maharashtra,764281,185467,554711,24103
5417,31/08/2020,Maharashtra,780689,193889,562401,24399
5418,01/09/2020,Maharashtra,792541,194399,573559,24583
5419,02/09/2020,Maharashtra,808306,198866,584537,24903
5420,03/09/2020,Maharashtra,825739,202048,598496,25195
5421,04/09/2020,Maharashtra,843844,205774,612484,25586
5422,05/09/2020,Maharashtra,863062,211325,625773,25964
5423,06/09/2020,Maharashtra,883862,221012,636574,26276
5424,07/09/2020,Maharashtra,907212,236208,644400,26604
5425,08/09/2020,Maharashtra,923641,237292,659322,27027
5426,09/09/2020,Maharashtra,943772,243809,672556,27407
5427,10/09/2020,Maharashtra,967349,253100,686462,27787
5428,11/09/2020,Maharashtra,990795,261798,700715,28282
5429,12/09/2020,Maharashtra,1015681,271934,715023,28724
5430,13/09/2020,Maharashtra,1037765,280138,728512,29115
5431,14/09/2020,Maharashtra,1060308,290716,740061,29531
5432,15/09/2020,Maharashtra,1077374,291630,755850,29894
5433,16/09/2020,Maharashtra,1097856,292174,775273,30409
5434,17/09/2020,Maharashtra,1121221,297506,792832,30883
5435,18/09/2020,Maharashtra,1145840,302135,812354,31351
5436,19/09/2020,Maharashtra,1167496,301273,834432,31791
5437,20/09/2020,Maharashtra,1188015,297866,857933,32216
5438,21/09/2020,Maharashtra,1208642,291630,884341,32671
5439,22/09/2020,Maharashtra,1224380,275017,916348,33015
5440,23/09/2020,Maharashtra,1242770,272809,936554,33407
5441,24/09/2020,Maharashtra,1263799,273883,956030,33886
5442,25/09/2020,Maharashtra,1282963,275404,973214,34345
5443,26/09/2020,Maharashtra,1300757,273190,992806,34761
5444,27/09/2020,Maharashtra,1321176,269535,1016450,35191
5445,28/09/2020,Maharashtra,1339232,273646,1030015,35571
5446,29/09/2020,Maharashtra,1351153,265455,1049947,35751
5447,30/09/2020,Maharashtra,1366129,260789,1069159,36181
5448,01/10/2020,Maharashtra,1384446,259462,1088322,36662
5449,02/10/2020,Maharashtra,1400922,259440,1104426,37056
5450,03/10/2020,Maharashtra,1416513,261313,1117720,37480
5451,04/10/2020,Maharashtra,1430861,258548,1134555,37758
5452,05/10/2020,Maharashtra,1443409,255722,1149603,38084
5453,06/10/2020,Maharashtra,1453653,252721,1162585,38347
5454,07/10/2020,Maharashtra,1465911,247468,1179726,38717
5455,08/10/2020,Maharashtra,1480489,244976,1196441,39072
5456,09/10/2020,Maharashtra,1493884,242438,1212016,39430
5457,10/10/2020,Maharashtra,1506018,236947,1229339,39732
5458,11/10/2020,Maharashtra,1517434,221615,1255779,40040
5459,12/10/2020,Maharashtra,1528226,221637,1266240,40349
5460,13/10/2020,Maharashtra,1535315,212905,1281896,40514
5461,14/10/2020,Maharashtra,1543837,205884,1297252,40701
5462,15/10/2020,Maharashtra,1554389,196761,1316769,40859
5463,16/10/2020,Maharashtra,1564615,192936,1330483,41196
5464,17/10/2020,Maharashtra,1576062,190192,1344368,41502
5465,18/10/2020,Maharashtra,1586321,185750,1358606,41965
5466,19/10/2020,Maharashtra,1595381,183456,1369810,42115
5467,20/10/2020,Maharashtra,1601365,174246,1384879,42240
5468,21/10/2020,Maharashtra,1609516,174755,1392308,42453
5469,22/10/2020,Maharashtra,1617658,159346,1415679,42633
5470,23/10/2020,Maharashtra,1625197,150510,1431856,42831
5471,24/10/2020,Maharashtra,1632544,144426,1445103,43015
5472,25/10/2020,Maharashtra,1638961,140702,1455107,43152
5473,26/10/2020,Maharashtra,1645020,141001,1460755,43264
5474,27/10/2020,Maharashtra,1648665,134657,1470660,43348
5475,28/10/2020,Maharashtra,1654028,132069,1478496,43463
5476,29/10/2020,Maharashtra,1660766,130286,1486926,43554
5477,30/10/2020,Maharashtra,1666668,128149,1494809,43710
5478,31/10/2020,Maharashtra,1672858,125971,1503050,43837
5479,01/11/2020,Maharashtra,1678406,124142,1510353,43911
5480,02/11/2020,Maharashtra,1683775,125672,1514079,44024
5481,03/11/2020,Maharashtra,1687784,119352,1524304,44128
5482,04/11/2020,Maharashtra,1692693,117168,1531277,44248
5483,05/11/2020,Maharashtra,1698198,113645,1540005,44548
5484,06/11/2020,Maharashtra,1703444,107358,1551282,44804
5485,07/11/2020,Maharashtra,1710314,103007,1562342,44965
5486,08/11/2020,Maharashtra,1714273,100068,1569090,45115
5487,09/11/2020,Maharashtra,1719858,97296,1577322,45240
5488,10/11/2020,Maharashtra,1723135,100488,1577322,45325
5489,11/11/2020,Maharashtra,1726926,93400,1588091,45435
5490,12/11/2020,Maharashtra,1731833,89018,1597255,45560
5491,13/11/2020,Maharashtra,1736329,85583,1605064,45682
5492,14/11/2020,Maharashtra,1740461,85045,1609607,45809
5493,15/11/2020,Maharashtra,1744698,86470,1612314,45914
5494,16/11/2020,Maharashtra,1747242,85889,1615379,45974
5495,17/11/2020,Maharashtra,1749777,85363,1618380,46034
5496,18/11/2020,Maharashtra,1752509,82904,1623503,46102
5497,19/11/2020,Maharashtra,1757520,81207,1630111,46202
5498,20/11/2020,Maharashtra,1763055,80728,1635971,46356
5499,21/11/2020,Maharashtra,1768695,79268,1642916,46511
5500,22/11/2020,Maharashtra,1774455,80878,1647004,46573
5501,23/11/2020,Maharashtra,1780208,82521,1651064,46623
5502,24/11/2020,Maharashtra,1784361,82915,1654793,46653
5503,25/11/2020,Maharashtra,1789800,84238,1658879,46683
5504,26/11/2020,Maharashtra,1795959,85488,1663723,46748
5505,27/11/2020,Maharashtra,1802365,87014,1668538,46813
5506,28/11/2020,Maharashtra,1808550,89025,1672627,46898
5507,29/11/2020,Maharashtra,1814515,90965,1676564,46986
5508,30/11/2020,Maharashtra,1820059,92062,1680926,47071
5509,01/12/2020,Maharashtra,1823896,91623,1685122,47151
5510,02/12/2020,Maharashtra,1828826,90168,1691412,47246
5511,25/03/2020,Manipur,1,1,0,0
5512,26/03/2020,Manipur,1,1,0,0
5513,27/03/2020,Manipur,1,1,0,0
5514,28/03/2020,Manipur,1,1,0,0
5515,29/03/2020,Manipur,1,1,0,0
5516,30/03/2020,Manipur,1,1,0,0
5517,31/03/2020,Manipur,1,1,0,0
5518,01/04/2020,Manipur,1,1,0,0
5519,02/04/2020,Manipur,1,1,0,0
5520,03/04/2020,Manipur,2,2,0,0
5521,04/04/2020,Manipur,2,2,0,0
5522,05/04/2020,Manipur,2,2,0,0
5523,06/04/2020,Manipur,2,2,0,0
5524,07/04/2020,Manipur,2,2,0,0
5525,08/04/2020,Manipur,2,2,0,0
5526,09/04/2020,Manipur,1,0,1,0
5527,10/04/2020,Manipur,2,1,1,0
5528,11/04/2020,Manipur,2,1,1,0
5529,12/04/2020,Manipur,2,1,1,0
5530,13/04/2020,Manipur,2,1,1,0
5531,14/04/2020,Manipur,2,1,1,0
5532,15/04/2020,Manipur,2,1,1,0
5533,16/04/2020,Manipur,2,1,1,0
5534,17/04/2020,Manipur,2,1,1,0
5535,18/04/2020,Manipur,2,1,1,0
5536,19/04/2020,Manipur,2,1,1,0
5537,20/04/2020,Manipur,2,1,1,0
5538,21/04/2020,Manipur,2,0,2,0
5539,22/04/2020,Manipur,2,0,2,0
5540,23/04/2020,Manipur,2,0,2,0
5541,24/04/2020,Manipur,2,0,2,0
5542,25/04/2020,Manipur,2,0,2,0
5543,26/04/2020,Manipur,2,0,2,0
5544,27/04/2020,Manipur,2,0,2,0
5545,28/04/2020,Manipur,2,0,2,0
5546,29/04/2020,Manipur,2,0,2,0
5547,30/04/2020,Manipur,2,0,2,0
5548,01/05/2020,Manipur,2,0,2,0
5549,02/05/2020,Manipur,2,0,2,0
5550,03/05/2020,Manipur,2,0,2,0
5551,04/05/2020,Manipur,2,0,2,0
5552,05/05/2020,Manipur,2,0,2,0
5553,06/05/2020,Manipur,2,0,2,0
5554,07/05/2020,Manipur,2,0,2,0
5555,08/05/2020,Manipur,2,0,2,0
